finding_ref,source_finding_index,rule_id,surface,severity,confidence,principal,priority_bucket,priority_rationale,suggested_owner_role,current_sku,recommended_sku,estimated_monthly_savings_usd,evidence_ref,verification_checklist,followup_questions,advisory
finding:2211b1b5aaec9d6b,0,ADO.INACTIVE_BASIC_90D,ado,high,high,sha256:124abc21ba41b6f9,p1,"P1 because severity is high, confidence is high, and the finding has $6.00/mo estimated savings.",ado-org-admin,ADO.BASIC,,6.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:5bd2e39c60d7f6a5,1,ADO.STAKEHOLDER_ELIGIBLE,ado,medium,high,sha256:6c17296b74c9fb4a,p3,"P3 because severity is medium, confidence is high, and the finding has $6.00/mo estimated savings.",ado-org-admin,ADO.BASIC,,6.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:9bd537e2990f78f3,2,ADO.PARALLEL_JOBS_OVER_PROVISIONED,ado,medium,high,sha256:d7235265ed0e5c83,p2,"P2 because severity is medium, confidence is high, and the finding has $280.00/mo estimated savings.",ado-org-admin,,,280.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:435593e64c9dc8cb,3,ADO.TEST_PLANS_UNUSED,ado,medium,high,sha256:ae691e231b441a77,p3,"P3 because severity is medium, confidence is high, and the finding has $46.00/mo estimated savings.",ado-org-admin,ADO.BASIC_TEST,ADO.BASIC,46.0,,"Confirm the Azure DevOps organisation and project ownership. | Review work-item, code, pipeline, and Test Plans activity before changing access. | Verify stakeholder eligibility or parallel-job needs with the ADO admin.","Is the access level needed for upcoming sprint, test, or release work? | Are project-level permissions or stakeholder limitations acceptable?",True
finding:eeae27cda8e78372,4,AZ.IDLE_VM_14D,azure,high,high,sha256:932b9351ef962f3c,p1,"P1 because severity is high, confidence is high, and the finding has $140.00/mo estimated savings.",azure-owner,Standard_D4s_v5,,140.0,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:6eeac2447b5bbf80,5,AZ.UNATTACHED_DISK,azure,medium,high,sha256:23c12f05be25787a,p3,"P3 because severity is medium, confidence is high, and the finding has $42.00/mo estimated savings.",azure-owner,Premium_LRS_512,,42.0,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:7f1022fd7fb728d2,6,AZ.PUBLIC_IP_UNATTACHED,azure,low,high,sha256:ed17f7f143d9b62e,p4,"P4 because severity is low, confidence is high, and the finding has $3.65/mo estimated savings.",azure-owner,Standard,,3.65,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:54227d49c75378a0,7,AZ.OVERSIZED_VM,azure,medium,high,sha256:0cce3820ec705be2,p3,"P3 because severity is medium, confidence is high, and the finding has unknown savings.",azure-owner,Standard_D8s_v5,Standard_D4s_v5,,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:cadd58b7016e930e,8,AZ.RESERVATION_UNDERUTILIZED,azure,high,high,sha256:efb1eb6d0c6c0952,p1,"P1 because severity is high, confidence is high, and the finding has unknown savings.",finops-analyst,Standard_D4s_v5,,,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
finding:d5574dbab15eb47f,9,AZ.LOG_ANALYTICS_OVERINGEST,azure,medium,high,sha256:eb88542d48a4e0ce,p2,"P2 because severity is medium, confidence is high, and the finding has $384.00/mo estimated savings.",finops-analyst,,,384.0,,"Confirm the resource is still owned and in scope for optimisation. | Review recent metrics, tags, and change windows before resizing or stopping. | Verify reservations, commitments, or environment tags with the FinOps owner.","Is this workload seasonal, recently deployed, or intentionally kept warm? | Would a right-size or commitment change affect availability targets?",True
