ServiceProviderName,HostProviderName,ServiceName,ServiceCategory,ServiceSubcategory,ChargeCategory,ChargeClass,ChargeFrequency,ChargeDescription,SkuId,ResourceId,ResourceType,BillingPeriodStart,BillingPeriodEnd,PricingCurrency,ListCost,ContractedCost,BilledCost,EffectiveCost,EstimatedMonthlySavingsUsd,AdvisoryFindingKey,RuleId,Severity
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,"sha256:124abc21ba41b6f9 holds an ADO Basic seat but shows no work-item, code, or pipeline activity in 90 days. Reclaim the seat.",ADO.BASIC,sha256:124abc21ba41b6f9,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,6.0,d68bc510b2fc7d85ddbfa899d0d0f9f518d42588acd846e90db8603365d8e316,ADO.INACTIVE_BASIC_90D,high
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,The organization owns 10 Microsoft-hosted parallel jobs but P95 concurrent usage was 3. Reduce the purchased count.,,sha256:d7235265ed0e5c83,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,280.0,f25a2c47850cef0687919547e63e447a28f8b8cb7945715d97f57250cbff8e58,ADO.PARALLEL_JOBS_OVER_PROVISIONED,medium
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,sha256:6c17296b74c9fb4a's only ADO activity in 90 days is reading boards and commenting. Step them down to the free Stakeholder access level.,ADO.BASIC,sha256:6c17296b74c9fb4a,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,6.0,ed621e5e662f73ba6ab1bd7ba5af7db49f55351591bf1674f9b8f2c06ae92b02,ADO.STAKEHOLDER_ELIGIBLE,medium
Microsoft,Microsoft,Azure DevOps,Developer Tools,,Advisory,Optimization,Monthly,sha256:ae691e231b441a77 holds a Basic + Test Plans seat but has not opened or modified a Test Plan in 60 days. Step down to Basic.,ADO.BASIC_TEST,sha256:ae691e231b441a77,seat,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,46.0,e3f4e46468d90c2aa5a2c827f03b76efefe85898ced5673d9ef65466962936ba,ADO.TEST_PLANS_UNUSED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"VM sha256:f54ac37e8807851e (Standard_D4s_v5, eastus) has os_type=Windows but license_type=(none). Consider enabling Azure Hybrid Benefit (Windows_Server) to reduce the Windows Server licence cost component. Verify that the organisation holds sufficient Windows Server SA or subscription licences before toggling.",Standard_D4s_v5,sha256:f54ac37e8807851e,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,427d5541e7b6ce6a62e0d99225f95aaa0a0f7529bef7debfea17bf606c3f09c4,AZ.AHB_ELIGIBLE,info
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 (Standard_D4s_v5) expires on 2026-06-12 (in 30 days) and is not configured to auto-renew. Verify whether the workload still needs reserved capacity. If yes, consider renewing or exchanging the reservation before the expiry date. If no, plan for the workload to fall back to on-demand pricing on 2026-06-12 and capture the projected on-demand cost in your forecast.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,dccea2748bdf8d45cef2eaef3b229f0d8dc6e0169cacf951ee14bf01f9dee057,AZ.COMMITMENT_RENEWAL_REVIEW,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 is Shared-scope and averaged 45.0% utilisation, while sibling subscription sha256:6581d3cf7d0d3d5a shows $120.0 of on-demand resource spend over the same window. Verify the sibling's on-demand SKUs are compatible with this reservation's family and region (Azure auto-applies on a best-fit basis), then consider widening the reservation's applied scope so the sibling's workload absorbs the unused capacity.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,8117fa5643fbb174ab2e88b40942bf1381c45aa21b8c7af72fc975692325e864,AZ.COMMITMENT_UNDER_COVERED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 is Shared-scope and averaged 45.0% utilisation, while sibling subscription sha256:d3c35dbc62687a64 shows $180.0 of on-demand resource spend over the same window. Verify the sibling's on-demand SKUs are compatible with this reservation's family and region (Azure auto-applies on a best-fit basis), then consider widening the reservation's applied scope so the sibling's workload absorbs the unused capacity.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,4b2c1689e4c6a3c8a8bd6bd177c96542260477fcb1aed8696cc458fb25d8445f,AZ.COMMITMENT_UNDER_COVERED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,"Reservation sha256:efb1eb6d0c6c0952 is Shared-scope and averaged 45.0% utilisation, while sibling subscription sha256:92498a1282297365 shows $200.0 of on-demand resource spend over the same window. Verify the sibling's on-demand SKUs are compatible with this reservation's family and region (Azure auto-applies on a best-fit basis), then consider widening the reservation's applied scope so the sibling's workload absorbs the unused capacity.",Standard_D4s_v5,sha256:efb1eb6d0c6c0952,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,bbec790e243bc13c1d82c69f59ab8761eb3e6345a5b497221372d24a87c4e918,AZ.COMMITMENT_UNDER_COVERED,medium
Microsoft,Microsoft,Azure,Compute,,Advisory,Optimization,Monthly,Resource sha256:f7ca075ffb272bf1 is tagged env=prod but lives in subscription 11111111 (Dev/Test). Move the workload to a subscription with the matching offer to avoid mispricing or compliance risk.,Standard_D4s_v3,sha256:f7ca075ffb272bf1,,1970-01-01T00:00:00Z,1970-02-01T00:00:00Z,USD,,,,,,c1f28018d76b24176205b6b34362711e460a5617f95ec6197bd9d33e4ef28dd5,AZ.DEV_TEST_SUB_MISMATCH,medium
